Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Sensor22,Sensor23,Sensor24,Cycles
-0.0027,-0.0001,100,518.67,642.28,1598.05,1414.43,14.62,21.61,553.85,2388.05,9122.39,1.3,47.63,521.47,2388.03,8193.05,8.4333,0.03,394,2388,100,38.9,23.2921,182
0.0009,0.0001,100,518.67,642.78,1595.34,1406.21,14.62,21.61,553.51,2388.03,9122.97,1.3,47.53,522.06,2388.05,8197.42,8.4463,0.03,394,2388,100,38.66,23.3496,183
0.0001,-0.0004,100,518.67,642.6,1595.89,1416.17,14.62,21.61,553.2,2388.05,9123.52,1.3,47.7,521.54,2388.06,8197.66,8.4568,0.03,394,2388,100,38.8,23.1229,184
0.0032,0.0004,100,518.67,642.84,1592.18,1413.6,14.62,21.61,552.87,2388.01,9123.81,1.3,47.8,521.5,2388,8195.29,8.4424,0.03,394,2388,100,38.81,23.3007,185
-0.0025,0.0005,100,518.67,643.38,1592.04,1416.25,14.62,21.61,553.62,2388.06,9130.33,1.3,47.66,521.57,2388.02,8203.03,8.4802,0.03,393,2388,100,38.89,23.3233,186
0.0019,0.0002,100,518.67,642.4,1595.19,1416.95,14.62,21.61,552.9,2388.02,9126.44,1.3,47.84,521.53,2388.05,8197.56,8.4632,0.03,394,2388,100,38.87,23.3093,187
0.001,0.0005,100,518.67,643.35,1589.88,1409.88,14.62,21.61,552.96,2388.03,9130.85,1.3,47.52,521.76,2388.06,8206.25,8.4457,0.03,394,2388,100,38.54,23.3504,188
-0.0003,0.0002,100,518.67,643.29,1592.33,1417.66,14.62,21.61,553.59,2388.06,9136.55,1.3,47.55,520.93,2388.09,8209.84,8.4423,0.03,393,2388,100,38.71,23.3188,189
-0.0038,0.0002,100,518.67,642.95,1598.97,1421.28,14.62,21.61,553.59,2388.1,9137.35,1.3,47.49,521.63,2388.07,8207.95,8.4765,0.03,395,2388,100,38.74,23.3551,190
-0.0031,-0.0001,100,518.67,642.92,1589.54,1413.65,14.62,21.61,553.24,2388.02,9136.19,1.3,47.61,521.23,2388.07,8201.94,8.4877,0.03,396,2388,100,38.89,23.2279,191
-0.0034,0.0001,100,518.67,643.05,1598.18,1418.58,14.62,21.61,553.16,2388.05,9141.92,1.3,47.57,520.99,2388.07,8210.24,8.4171,0.03,395,2388,100,38.77,23.2148,192
0.0018,0.0004,100,518.67,643.1,1595.6,1414.62,14.62,21.61,553.18,2388.08,9139.88,1.3,47.58,521.37,2388.05,8213.57,8.4429,0.03,395,2388,100,38.63,23.2952,193
0.0049,0,100,518.67,643.24,1599.45,1415.79,14.62,21.61,553.41,2388.02,9142.37,1.3,47.69,520.69,2388,8213.28,8.4715,0.03,394,2388,100,38.65,23.1974,194
-0.0011,-0.0001,100,518.67,643.22,1595.69,1422.05,14.62,21.61,553.22,2388.05,9140.68,1.3,47.6,521.05,2388.09,8210.85,8.4512,0.03,395,2388,100,38.57,23.2771,195
-0.0006,-0.0003,100,518.67,643.44,1593.15,1406.82,14.62,21.61,553.04,2388.11,9146.81,1.3,47.57,521.18,2388.04,8217.24,8.4569,0.03,395,2388,100,38.62,23.2051,196
-0.0038,0.0001,100,518.67,643.26,1594.99,1419.36,14.62,21.61,553.37,2388.07,9148.85,1.3,47.61,521.33,2388.08,8220.48,8.4711,0.03,395,2388,100,38.66,23.2699,197
0.0013,0.0003,100,518.67,642.95,1601.62,1424.99,14.62,21.61,552.48,2388.06,9155.03,1.3,47.8,521.07,2388.05,8214.64,8.4903,0.03,396,2388,100,38.7,23.1855,198
